entity_name,cik,year,form,val,start,end
,,,,,,
"AMAZON.COM, INC.",1018724.0,2019.0,10-K,16861000000.0,2019-01-01,2019-12-31
Chevron Corp,93410.0,2019.0,10-K,14116000000.0,2019-01-01,2019-12-31
,,,,,,
FedEx Corporation,1048911.0,2019.0,10-K,5490000000.0,2018-06-01,2019-05-31
"LUMEN TECHNOLOGIES, INC.",18926.0,2019.0,10-K,3628000000.0,2019-01-01,2019-12-31
FORD MOTOR CO,37996.0,2019.0,10-K,7632000000.0,2019-01-01,2019-12-31
The Kroger Co.,56873.0,2019.0,10-K,3128000000.0,2019-02-03,2020-02-01
"PepsiCo, Inc.",77476.0,2019.0,10-K,4232000000.0,2018-12-30,2019-12-28
"Merck & Co., Inc.",310158.0,2019.0,10-K,3473000000.0,2019-01-01,2019-12-31
"HOME DEPOT, INC.",354950.0,2019.0,10-K,2678000000.0,2019-02-04,2020-02-02
AMERICAN AIRLINES GROUP INC.,6201.0,2019.0,10-K,4268000000.0,2019-01-01,2019-12-31
"DELTA AIR LINES, INC.",27904.0,2019.0,10-K,4936000000.0,2019-01-01,2019-12-31
LOCKHEED MARTIN CORPORATION,936468.0,2019.0,10-K,1484000000.0,2019-01-01,2019-12-31
"UNITED AIRLINES HOLDINGS, INC.",100517.0,2019.0,10-K,4528000000.0,2019-01-01,2019-12-31
RAYTHEON TECHNOLOGIES CORPORATION,101829.0,2019.0,10-K,2256000000.0,2019-01-01,2019-12-31
,,,,,,
HP INC.,47217.0,2019.0,10-K,671000000.0,2018-11-01,2019-10-31
